DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,WD,TEMP,RH,BP,RAIN
2023-08-01 00:00:00,11,32,9.0,0.31,7.0,1.0,1.4,183,28.3,87,750,0.0
2023-08-01 01:00:00,12,35,9.0,0.22,7.410755148741419,1.067401166558652,1.3,186,28.0,88,749,0.0
2023-08-01 02:00:00,15,35,10.0,0.19,6.0,1.0,1.3,185,28.1,88,749,0.0
2023-08-01 03:00:00,15,31,9.0,0.19,5.0,1.0,1.1,181,27.8,88,749,0.0
2023-08-01 04:00:00,12,33,9.0,0.17,4.0,1.0,1.0,192,27.9,88,749,0.0
2023-08-01 05:00:00,9,32,7.0,0.21,5.0,1.0,0.7,178,27.6,90,749,0.0
2023-08-01 06:00:00,7,29,5.0,0.27,6.0,1.0,0.5,160,27.4,91,749,0.0
2023-08-01 07:00:00,8,30,7.0,0.28,5.0,1.0,1.5,178,28.6,85,749,0.0
2023-08-01 08:00:00,11,30,9.0,0.2773788546255507,5.0,1.067401166558652,2.2,186,29.9,76,749,0.0
2023-08-01 09:00:00,15,30,10.0,0.19,7.410755148741419,1.0,2.7,187,30.0,75,749,0.0
2023-08-01 10:00:00,16,25,10.98954895489549,0.17,4.0,1.0,2.6,189,30.3,73,749,0.0
2023-08-01 11:00:00,12,22,11.0,0.18,4.0,1.0,2.4,192,30.7,71,749,0.0
2023-08-01 12:00:00,10,26,12.0,0.18,3.0,1.0,2.2,194,30.7,72,749,0.0
2023-08-01 13:00:00,7,30,13.0,0.18,4.0,1.0,2.3,193,30.6,73,748,0.0
2023-08-01 14:00:00,6,30,14.0,0.18,4.0,1.0,2.6,191,30.2,74,748,0.0
2023-08-01 15:00:00,7,29,14.0,0.18,4.0,1.0,2.4,196,30.3,73,748,0.0
2023-08-01 16:00:00,8,27,13.0,0.22,5.0,1.0,2.7,189,30.2,74,748,0.0
2023-08-01 17:00:00,7,27,13.0,0.24,6.0,1.0,2.7,187,29.9,76,748,0.0
2023-08-01 18:00:00,6,27,12.0,0.26,7.0,1.0,2.1,188,29.4,78,748,0.0
2023-08-01 19:00:00,5,26,12.0,0.25,8.0,1.0,2.1,188,29.2,80,749,0.0
