PM25,PM10,O3,CO,NO2,SO2,WS,WD,TEMP,RH
16.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.5,308,30.7,69
14.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.2,285,32.0,63
12.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.3,329,33.7,57
14.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.5,330,33.7,55
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.4,324,33.5,55
18.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.6,285,30.8,68
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.2,319,31.4,64
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.3,334,31.9,63
16.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.6,312,32.6,60
16.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.5,300,31.2,63
27.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.6,259,30.4,69
26.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.3,267,30.8,66
22.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.1,268,31.9,63
21.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.4,268,33.3,57
12.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,3.1,262,33.5,53
22.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.9,285,29.5,79
20.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,266,30.6,70
18.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.3,268,32.6,60
20.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.5,274,33.7,55
22.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.8,290,34.1,53
19.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.9,289,30.4,67
12.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.0,284,32.1,59
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.1,284,33.3,54
11.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.2,282,34.6,51
17.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.8,290,35.2,48
13.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.2,275,30.3,67
11.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.9,269,31.6,62
13.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.4,272,33.2,57
12.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.6,275,34.7,51
13.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.1,282,34.4,51
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.7,283,30.2,65
13.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.5,274,31.3,62
10.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.7,275,32.5,56
9.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.5,274,33.4,53
12.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,266,33.8,52
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.8,288,30.4,67
9.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.8,293,32.1,60
8.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.1,283,33.7,54
10.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.4,284,35.0,49
11.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.1,281,35.5,48
26.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.6,291,30.6,68
13.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.5,273,32.1,61
11.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.1,282,33.1,56
10.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.8,291,34.6,52
11.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.9,292,34.2,52
36.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.7,274,29.5,74
35.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.4,277,31.2,66
20.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.7,269,33.2,57
21.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.3,269,34.6,51
24.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.8,281,34.7,50
14.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.9,269,30.4,63
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,262,31.8,57
11.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.4,263,33.7,51
14.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,3.0,266,35.5,45
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,275,35.6,44
39.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.4,262,30.8,62
25.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.4,262,32.1,58
23.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.4,272,33.5,52
17.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,275,34.7,48
22.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.8,267,35.8,44
22.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.1,272,30.0,70
16.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.7,269,31.6,62
17.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.4,273,33.7,55
20.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.6,271,35.5,48
17.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.0,271,35.6,45
21.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.9,267,29.7,72
21.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,264,31.4,64
19.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.0,269,33.4,56
16.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.5,274,35.4,49
18.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.1,265,36.0,45
42.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.3,265,29.7,69
32.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,265,31.1,63
21.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.7,272,32.8,57
18.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.0,275,34.4,51
17.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.0,268,35.3,48
32.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.0,274,30.1,67
19.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.6,285,31.7,60
12.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.3,273,32.4,56
10.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.7,269,33.1,53
12.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,280,34.0,49
31.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.0,263,30.0,63
26.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.8,271,31.2,58
16.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.9,275,33.0,52
13.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.5,268,34.7,45
16.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.9,273,35.5,43
22.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,3.3,266,28.6,69
20.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,3.3,275,30.2,63
14.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,3.3,270,32.4,56
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,3.3,282,34.4,48
21.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.6,297,35.5,45
17.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.8,285,30.1,62
18.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,3.1,297,31.8,55
23.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,3.0,293,33.7,49
24.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.9,297,35.6,43
21.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.2,296,36.7,41
22.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.8,266,30.5,61
21.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,2.9,276,31.8,58
17.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.9,281,33.7,53
19.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.9,272,35.6,48
19.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.6,293,36.7,45
19.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.1,93,28.7,87
21.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.1,72,29.9,86
19.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.4,280,30.9,86
17.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.1,282,31.7,85
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.5,290,32.2,82
19.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.6,265,28.7,79
13.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.7,279,29.8,76
11.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.9,271,31.0,67
13.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.3,273,32.3,60
19.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.7,288,33.7,53
20.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.4,284,28.8,77
16.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.1,273,29.8,74
15.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.8,272,30.4,68
17.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.8,270,31.6,62
14.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.9,291,32.8,56
31.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.8,281,28.7,79
16.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.1,278,30.1,74
9.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.2,277,31.4,67
8.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.2,277,32.1,61
8.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,0.6,288,33.4,58
22.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.4,264,28.6,77
21.0,27.99051911718993,22.596723010167736,0.45179891261523913,5.466318282028252,1.7442477876106195,1.3,278,29.8,73
