stationID,DATETIMEDATA,PM25,PM10,O3,CO,NO2,SO2,WS,WD,TEMP,RH,BP,RAIN
02t,2023-08-01 08:00:00,16.0,,,,,,0.5,308,30.7,69,750,0.0
02t,2023-08-01 09:00:00,14.0,,,,,,1.2,285,32.0,63,750,0.0
02t,2023-08-01 10:00:00,12.0,,,,,,0.3,329,33.7,57,750,0.0
02t,2023-08-01 11:00:00,14.0,,,,,,0.5,330,33.7,55,749,0.0
02t,2023-08-01 12:00:00,15.0,,,,,,0.4,324,33.5,55,749,0.0
02t,2023-08-02 08:00:00,18.0,,,,,,0.6,285,30.8,68,750,0.0
02t,2023-08-02 09:00:00,15.0,,,,,,0.2,319,31.4,64,750,0.0
02t,2023-08-02 10:00:00,15.0,,,,,,0.3,334,31.9,63,751,0.0
02t,2023-08-02 11:00:00,16.0,,,,,,0.6,312,32.6,60,751,0.0
02t,2023-08-02 12:00:00,16.0,,,,,,0.5,300,31.2,63,750,3.4
02t,2023-08-03 08:00:00,27.0,,,,,,2.6,259,30.4,69,750,0.0
02t,2023-08-03 09:00:00,26.0,,,,,,2.3,267,30.8,66,751,0.0
02t,2023-08-03 10:00:00,22.0,,,,,,2.1,268,31.9,63,750,0.0
02t,2023-08-03 11:00:00,21.0,,,,,,2.4,268,33.3,57,750,0.0
02t,2023-08-03 12:00:00,12.0,,,,,,3.1,262,33.5,53,749,0.0
02t,2023-08-04 08:00:00,22.0,,,,,,0.9,285,29.5,79,752,0.0
02t,2023-08-04 09:00:00,20.0,,,,,,2.2,266,30.6,70,752,0.0
02t,2023-08-04 10:00:00,18.0,,,,,,2.3,268,32.6,60,752,0.0
02t,2023-08-04 11:00:00,20.0,,,,,,1.5,274,33.7,55,752,0.0
02t,2023-08-04 12:00:00,22.0,,,,,,0.8,290,34.1,53,751,0.0
02t,2023-08-05 08:00:00,19.0,,,,,,0.9,289,30.4,67,753,0.0
02t,2023-08-05 09:00:00,12.0,,,,,,1.0,284,32.1,59,753,0.0
02t,2023-08-05 10:00:00,15.0,,,,,,1.1,284,33.3,54,753,0.0
02t,2023-08-05 11:00:00,11.0,,,,,,1.2,282,34.6,51,753,0.0
02t,2023-08-05 12:00:00,17.0,,,,,,0.8,290,35.2,48,752,0.0
02t,2023-08-06 08:00:00,13.0,,,,,,1.2,275,30.3,67,752,0.0
02t,2023-08-06 09:00:00,11.0,,,,,,1.9,269,31.6,62,752,0.0
02t,2023-08-06 10:00:00,13.0,,,,,,1.4,272,33.2,57,751,0.0
02t,2023-08-06 11:00:00,12.0,,,,,,1.6,275,34.7,51,751,0.0
02t,2023-08-06 12:00:00,13.0,,,,,,1.1,282,34.4,51,750,0.0
02t,2023-08-07 08:00:00,15.0,,,,,,0.7,283,30.2,65,750,0.0
02t,2023-08-07 09:00:00,13.0,,,,,,1.5,274,31.3,62,750,0.0
02t,2023-08-07 10:00:00,10.0,,,,,,1.7,275,32.5,56,750,0.0
02t,2023-08-07 11:00:00,9.0,,,,,,1.5,274,33.4,53,750,0.0
02t,2023-08-07 12:00:00,12.0,,,,,,2.2,266,33.8,52,749,0.0
02t,2023-08-08 08:00:00,15.0,,,,,,0.8,288,30.4,67,751,0.0
02t,2023-08-08 09:00:00,9.0,,,,,,0.8,293,32.1,60,751,0.0
02t,2023-08-08 10:00:00,8.0,,,,,,1.1,283,33.7,54,751,0.0
02t,2023-08-08 11:00:00,10.0,,,,,,1.4,284,35.0,49,750,0.0
02t,2023-08-08 12:00:00,11.0,,,,,,1.1,281,35.5,48,750,0.0
02t,2023-08-09 08:00:00,26.0,,,,,,0.6,291,30.6,68,752,0.0
02t,2023-08-09 09:00:00,13.0,,,,,,1.5,273,32.1,61,752,0.0
02t,2023-08-09 10:00:00,11.0,,,,,,1.1,282,33.1,56,752,0.0
02t,2023-08-09 11:00:00,10.0,,,,,,0.8,291,34.6,52,752,0.0
02t,2023-08-09 12:00:00,11.0,,,,,,0.9,292,34.2,52,751,0.0
02t,2023-08-10 08:00:00,36.0,,,,,,0.7,274,29.5,74,752,0.0
02t,2023-08-10 09:00:00,35.0,,,,,,1.4,277,31.2,66,752,0.0
02t,2023-08-10 10:00:00,20.0,,,,,,1.7,269,33.2,57,752,0.0
02t,2023-08-10 11:00:00,21.0,,,,,,1.3,269,34.6,51,751,0.0
02t,2023-08-10 12:00:00,24.0,,,,,,0.8,281,34.7,50,751,0.0
02t,2023-08-11 08:00:00,14.0,,,,,,1.9,269,30.4,63,751,0.0
02t,2023-08-11 09:00:00,15.0,,,,,,2.2,262,31.8,57,751,0.0
02t,2023-08-11 10:00:00,11.0,,,,,,2.4,263,33.7,51,751,0.0
02t,2023-08-11 11:00:00,14.0,,,,,,3.0,266,35.5,45,750,0.0
02t,2023-08-11 12:00:00,15.0,,,,,,2.2,275,35.6,44,750,0.0
